"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"105KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"112KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"114KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"119KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"120KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"139KP-HG","","SAMEA7701921","NLSAR","NLSAR","Universitat de Valencia","2020/12/14","Human",NA,"40.463667","-3.74922"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"140KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"148KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"149KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"151KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"156KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"160KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"161KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"163KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"165KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"175KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"176KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"181KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
"185KP-HG","",NA,"NLSAR","NLSAR","Universitat de Valencia",NA,"Human",NA,"39.4699075","-0.3762881"," Valencia","Spain","Europe","PRJEB37504",NA,NA,NA
